symbol,indicator,direction,total_trades,winning_trades,losing_trades,win_rate,total_pnl,avg_pnl,max_drawdown,start_capital,end_capital,return_pct
QBTS,supertrend,long,14,5,9,0.35714285714285715,527.0631220785443,37.64736586275317,0.20234697079405164,1000,1527.0631220785442,52.706312207854424
QBTS,jma,long,36,9,27,0.25,543.2964802732381,15.091568896478837,0.2525814039446959,1000,1543.296480273238,54.329648027323806
QBTS,kama,long,39,10,29,0.2564102564102564,939.0211880569443,24.07746636043447,0.2642382672348364,1000,1939.0211880569443,93.90211880569443
INTC,supertrend,long,17,6,11,0.35294117647058826,300.8896036963009,17.699388452723582,0.11559636126181042,1000,1300.889603696301,30.0889603696301
INTC,jma,long,28,7,21,0.25,429.97408655047144,15.356217376802551,0.11848667572713874,1000,1429.9740865504716,42.99740865504716
INTC,kama,long,37,10,27,0.2702702702702703,397.00356546620117,10.729826093681112,0.11066434568355044,1000,1397.003565466201,39.70035654662011
GOOGL,supertrend,long,11,5,6,0.45454545454545453,91.80920308720735,8.346291189746124,0.07809081443173851,1200,1291.8092030872067,7.650766923933891
GOOGL,jma,long,27,10,17,0.37037037037037035,353.50031762488004,13.092604356477038,0.05606910058243838,1200,1553.500317624878,29.458359802073176
GOOGL,kama,long,39,14,25,0.358974358974359,322.81812130402756,8.277387725744296,0.0445167493363594,1200,1522.8181213040257,26.90151010866881
MRNA,supertrend,long,16,8,8,0.5,-81.32918288482652,-5.083073930301658,0.23564387443747886,1000,918.6708171151736,-8.132918288482642
MRNA,jma,long,30,10,20,0.3333333333333333,140.31171273370535,4.677057091123512,0.24191675114881717,1000,1140.311712733705,14.031171273370502
MRNA,kama,long,37,12,25,0.32432432432432434,147.64321061787524,3.990357043726358,0.25022727153618735,1000,1147.6432106178752,14.76432106178752
AAPL,supertrend,long,10,4,6,0.4,87.12937705399153,8.712937705399153,0.04337569734761087,1000,1087.1293770539917,8.712937705399169
AAPL,jma,long,37,11,26,0.2972972972972973,42.782218761451816,1.156276182741941,0.07951975989118035,1000,1042.782218761452,4.278221876145198
AAPL,kama,long,42,12,30,0.2857142857142857,-35.12697965504183,-0.8363566584533769,0.0837050254666702,1000,964.8730203449581,-3.512697965504185
