symbol,direction,indicator,entry_time,entry_price,exit_time,exit_price,quantity,stake,gross_pnl,fees,net_pnl,bars_held,reason
QUBT,long,supertrend,2025-10-03 13:30:00,23.99020004272461,2025-10-06 13:30:00,21.764999389648438,79,1900.0,-175.79085159301758,3.8000000000000003,-179.5908515930176,7,Trend flip
QUBT,long,supertrend,2025-10-14 16:30:00,21.71500015258789,2025-10-16 14:30:00,20.154600143432617,79,1729.3886909866333,-123.2716007232666,3.458777381973267,-126.73037810523986,12,Trend flip
QUBT,long,supertrend,2025-10-23 13:30:00,16.3799991607666,2025-10-28 16:30:00,15.425000190734863,98,1608.9948317866554,-93.58989906311035,3.2179896635733107,-96.80788872668366,24,ATR stop
QUBT,long,supertrend,2025-11-10 14:30:00,13.25,2025-11-11 14:30:00,12.270000457763672,114,1517.027337496306,-111.7199478149414,3.0340546749926123,-114.75400248993402,7,ATR stop
QUBT,long,supertrend,2025-11-17 14:30:00,11.890000343322754,2025-11-20 15:30:00,11.149999618530273,118,1408.0110351308688,-87.3200855255127,2.8160220702617376,-90.13610759577443,22,ATR stop
QUBT,long,supertrend,2025-11-24 19:30:00,11.335000038146973,2025-12-01 19:30:00,11.060199737548828,116,1322.3817329148828,-31.876834869384766,2.6447634658297656,-34.521598335214534,25,Trend flip
QUBT,long,supertrend,2025-12-03 19:30:00,11.824999809265137,2025-12-10 15:30:00,12.345399856567383,109,1289.586214496429,56.723605155944824,2.579172428992858,54.14443272695197,31,Trend flip
QUBT,long,supertrend,2025-12-22 14:30:00,12.12559986114502,2025-12-24 14:30:00,11.26039981842041,110,1341.0234255870334,-95.17200469970703,2.682046851174067,-97.8540515508811,14,ATR stop
QUBT,long,jma,2025-10-01 14:30:00,19.30500030517578,2025-10-07 14:30:00,21.530000686645508,98,1900.0,218.0500373840332,3.8000000000000003,214.2500373840332,28,Trend flip
QUBT,long,jma,2025-10-07 18:30:00,22.44499969482422,2025-10-08 17:30:00,20.924999237060547,89,2000.0,-135.2800407409668,4.0,-139.2800407409668,6,Trend flip
QUBT,long,jma,2025-10-13 16:30:00,21.135000228881836,2025-10-15 16:30:00,20.920000076293945,93,1971.2214968109129,-19.995014190673828,3.942442993621826,-23.937457184295653,14,Trend flip
QUBT,long,jma,2025-10-15 18:30:00,21.690000534057617,2025-10-16 17:30:00,18.854999542236328,89,1948.480912485832,-252.31508827209473,3.896961824971664,-256.21205009706637,6,Trend flip
QUBT,long,jma,2025-10-24 13:30:00,16.740100860595703,2025-10-24 19:30:00,15.539999961853027,101,1705.0794648936192,-121.21019077301025,3.4101589297872383,-124.6203497027975,6,Trend flip
QUBT,long,jma,2025-10-27 13:30:00,16.45009994506836,2025-10-27 19:30:00,15.729999542236328,96,1586.6901326759614,-69.129638671875,3.173380265351923,-72.30301893722692,6,Trend flip
QUBT,long,jma,2025-10-28 13:30:00,16.084999084472656,2025-10-28 19:30:00,14.914999961853027,94,1518.002264685596,-109.97991752624512,3.036004529371192,-113.01592205561631,6,Trend flip
QUBT,long,jma,2025-10-31 13:30:00,15.729999542236328,2025-11-03 14:30:00,15.390000343322754,89,1410.6371387327604,-30.259928703308105,2.8212742774655206,-33.081202980773625,7,Trend flip
QUBT,long,jma,2025-11-03 17:30:00,15.75,2025-11-04 16:30:00,14.21500015258789,87,1379.2099959010254,-133.54498672485352,2.758419991802051,-136.30340671665556,6,Trend flip
QUBT,long,jma,2025-11-17 14:30:00,11.890000343322754,2025-11-19 17:30:00,11.538399696350098,105,1249.7217595202028,-36.918067932128906,2.4994435190404056,-39.41751145116931,17,Trend flip
QUBT,long,jma,2025-11-20 14:30:00,11.930000305175781,2025-11-20 20:30:00,10.260000228881836,101,1212.275123641592,-168.67000770568848,2.424550247283184,-171.09455795297166,6,Trend flip
QUBT,long,jma,2025-11-24 17:30:00,11.020000457763672,2025-12-01 14:30:00,11.114999771118164,95,1049.7352935862689,9.024934768676758,2.099470587172538,6.9254641815042195,22,Trend flip
QUBT,long,jma,2025-12-02 14:30:00,11.33240032196045,2025-12-02 20:30:00,10.994999885559082,93,1056.3144845586978,-31.37824058532715,2.1126289691173956,-33.490869554444544,6,Trend flip
QUBT,long,jma,2025-12-03 17:30:00,11.21500015258789,2025-12-10 14:30:00,12.649999618530273,91,1024.4981584819755,130.58495140075684,2.048996316963951,128.53595508379289,32,Trend flip
QUBT,long,jma,2025-12-11 18:30:00,12.739999771118164,2025-12-12 18:30:00,12.604999542236328,90,1146.607315811579,-12.150020599365234,2.293214631623158,-14.443235230988392,7,Trend flip
QUBT,long,jma,2025-12-19 19:30:00,10.954999923706055,2025-12-24 14:30:00,11.26039981842041,103,1132.88624234214,31.456189155578613,2.26577248468428,29.190416670894333,16,Trend flip
QUBT,long,kama,2025-10-01 14:30:00,19.30500030517578,2025-10-06 13:30:00,21.764999389648438,98,1900.0,241.0799102783203,3.8000000000000003,237.2799102783203,20,Trend flip
QUBT,long,kama,2025-10-13 19:30:00,21.420000076293945,2025-10-15 15:30:00,21.525299072265625,93,2000.0,9.792806625366211,4.0,5.792806625366211,10,Trend flip
QUBT,long,kama,2025-10-23 13:30:00,16.3799991607666,2025-10-24 19:30:00,15.539999961853027,122,2000.0,-102.47990226745605,4.0,-106.47990226745605,13,Trend flip
QUBT,long,kama,2025-10-27 13:30:00,16.45009994506836,2025-10-28 16:30:00,15.425000190734863,121,2000.0,-124.03707027435303,4.0,-128.03707027435303,10,Trend flip
QUBT,long,kama,2025-10-29 19:30:00,15.550000190734863,2025-10-30 18:30:00,15.095000267028809,122,1908.1279571437833,-55.50999069213867,3.8162559142875665,-59.32624660642624,6,Trend flip
QUBT,long,kama,2025-10-31 13:30:00,15.729999542236328,2025-11-03 14:30:00,15.390000343322754,117,1851.7680228676784,-39.779906272888184,3.703536045735357,-43.48344231862354,7,Trend flip
QUBT,long,kama,2025-11-03 18:30:00,15.944999694824219,2025-11-04 17:30:00,13.904999732971191,113,1810.4587526649862,-230.5199956893921,3.6209175053299725,-234.14091319472206,6,Trend flip
QUBT,long,kama,2025-11-05 20:30:00,14.180000305175781,2025-11-06 19:30:00,13.104999542236328,111,1588.0248851300003,-119.3250846862793,3.1760497702600006,-122.50113445653929,6,Trend flip
QUBT,long,kama,2025-11-10 14:30:00,13.25,2025-11-10 20:30:00,12.689000129699707,111,1471.6488073962878,-62.27098560333252,2.943297614792576,-65.21428321812509,6,Trend flip
QUBT,long,kama,2025-11-14 14:30:00,10.675000190734863,2025-11-19 16:30:00,11.72130012512207,132,1409.695238339069,138.11159133911133,2.819390476678138,135.2922008624332,23,Trend flip
QUBT,long,kama,2025-11-20 14:30:00,11.930000305175781,2025-11-20 20:30:00,10.260000228881836,128,1538.2228291583806,-213.760009765625,3.076445658316761,-216.83645542394177,6,Trend flip
QUBT,long,kama,2025-11-24 14:30:00,10.529999732971191,2025-12-01 14:30:00,11.114999771118164,126,1332.2281965056359,73.71000480651855,2.664456393011272,71.04554841350728,25,Trend flip
QUBT,long,kama,2025-12-02 14:30:00,11.33240032196045,2025-12-02 20:30:00,10.994999885559082,123,1399.7214674984677,-41.500253677368164,2.7994429349969354,-44.299696612365096,6,Trend flip
QUBT,long,kama,2025-12-03 17:30:00,11.21500015258789,2025-12-05 14:30:00,13.0649995803833,121,1357.636755716721,223.84993076324463,2.715273511433442,221.13465725181118,11,Trend flip
QUBT,long,kama,2025-12-09 14:30:00,13.1003999710083,2025-12-10 14:30:00,12.649999618530273,119,1567.7146801059416,-53.597641944885254,3.1354293602118832,-56.733071305097134,7,Trend flip
QUBT,long,kama,2025-12-11 20:30:00,12.819999694824219,2025-12-12 19:30:00,12.270099639892578,118,1513.8182623660994,-64.8882064819336,3.027636524732199,-67.9158430066658,6,Trend flip
QUBT,long,kama,2025-12-19 15:30:00,10.850000381469727,2025-12-23 15:30:00,11.86970043182373,133,1449.2982115097668,135.62010669708252,2.8985964230195336,132.72151027406298,14,Trend flip
QBTS,long,supertrend,2025-10-03 14:30:00,32.95000076293945,2025-10-17 13:30:00,37.189998626708984,28,950.0,118.71994018554688,1.9000000000000001,116.81994018554687,69,Trend flip
QBTS,long,supertrend,2025-10-23 13:30:00,32.880001068115234,2025-10-28 19:30:00,31.975000381469727,30,1000.0,-27.150020599365234,2.0,-29.150020599365234,27,Trend flip
QBTS,long,supertrend,2025-10-31 17:30:00,36.84000015258789,2025-11-03 17:30:00,33.19499969482422,27,1000.0,-98.41501235961914,2.0,-100.41501235961914,6,Trend flip
QBTS,long,supertrend,2025-11-10 14:30:00,30.295299530029297,2025-11-11 14:30:00,28.3799991607666,30,937.8921618652342,-57.45901107788086,1.8757843237304686,-59.33479540161133,7,ATR stop
QBTS,long,supertrend,2025-11-24 14:30:00,21.760000228881836,2025-12-12 15:30:00,25.68000030517578,40,881.5241062337035,156.8000030517578,1.763048212467407,155.03695483929042,89,Trend flip
QBTS,long,supertrend,2025-12-19 15:30:00,26.450000762939453,2025-12-24 14:30:00,27.155000686645508,37,1000.0,26.084997177124023,2.0,24.084997177124023,20,Trend flip
QBTS,long,jma,2025-10-01 14:30:00,25.44499969482422,2025-10-08 18:30:00,33.46160125732422,37,950.0,296.6142578125,1.9000000000000001,294.7142578125,39,Trend flip
QBTS,long,jma,2025-10-08 19:30:00,34.27000045776367,2025-10-10 13:30:00,34.099998474121094,29,1000.0,-4.930057525634766,2.0,-6.930057525634766,8,Trend flip
QBTS,long,jma,2025-10-10 15:30:00,34.63999938964844,2025-10-16 15:30:00,40.11840057373047,28,1000.0,153.39523315429688,2.0,151.39523315429688,28,Trend flip
QBTS,long,jma,2025-10-16 16:30:00,41.230098724365234,2025-10-17 15:30:00,38.627498626708984,24,1000.0,-62.46240234375,2.0,-64.46240234375,6,Trend flip
QBTS,long,jma,2025-10-24 13:30:00,34.1349983215332,2025-10-28 16:30:00,33.630001068115234,29,1000.0,-14.644920349121094,2.0,-16.644920349121094,17,Trend flip
QBTS,long,jma,2025-10-28 17:30:00,33.90999984741211,2025-10-29 16:30:00,33.560001373291016,29,1000.0,-10.149955749511719,2.0,-12.149955749511719,6,Trend flip
QBTS,long,jma,2025-10-29 18:30:00,33.96839904785156,2025-11-03 14:30:00,33.060001373291016,29,1000.0,-26.34353256225586,2.0,-28.34353256225586,16,Trend flip
QBTS,long,jma,2025-11-10 14:30:00,30.295299530029297,2025-11-10 20:30:00,29.364999771118164,33,1000.0,-30.699892044067383,2.0,-32.69989204406738,6,Trend flip
QBTS,long,jma,2025-11-11 18:30:00,29.52560043334961,2025-11-12 17:30:00,27.280000686645508,33,1000.0,-74.10479164123535,2.0,-76.10479164123535,6,Trend flip
QBTS,long,jma,2025-11-19 14:30:00,24.20989990234375,2025-11-19 20:30:00,23.43000030517578,41,1000.0,-31.97588348388672,2.0,-33.97588348388672,6,Trend flip
QBTS,long,jma,2025-11-20 14:30:00,23.829999923706055,2025-11-20 20:30:00,20.485000610351562,41,1000.0,-137.14497184753418,2.0,-139.14497184753418,6,Trend flip
QBTS,long,jma,2025-11-24 15:30:00,21.81999969482422,2025-12-01 14:30:00,21.72100067138672,45,983.8704292488097,-4.4549560546875,1.9677408584976195,-6.42269691318512,24,Trend flip
QBTS,long,jma,2025-12-02 14:30:00,22.78380012512207,2025-12-10 15:30:00,27.219999313354492,42,977.7688671812839,186.32036590576172,1.9555377343625677,184.36482817139915,43,Trend flip
QBTS,long,jma,2025-12-10 17:30:00,27.520000457763672,2025-12-11 17:30:00,27.299999237060547,36,1000.0,-7.9200439453125,2.0,-9.9200439453125,7,Trend flip
QBTS,long,jma,2025-12-11 18:30:00,27.777299880981445,2025-12-12 17:30:00,27.200000762939453,36,1000.0,-20.78276824951172,2.0,-22.78276824951172,6,Trend flip
QBTS,long,jma,2025-12-16 20:30:00,25.514999389648438,2025-12-17 19:30:00,23.940000534057617,39,1000.0,-61.42495536804199,2.0,-63.42495536804199,6,Trend flip
QBTS,long,jma,2025-12-18 17:30:00,25.270000457763672,2025-12-24 14:30:00,27.155000686645508,39,1000.0,73.5150089263916,2.0,71.5150089263916,25,Trend flip
QBTS,long,kama,2025-10-01 14:30:00,25.44499969482422,2025-10-07 14:30:00,34.43000030517578,37,950.0,332.4450225830078,1.9000000000000001,330.54502258300784,28,Trend flip
QBTS,long,kama,2025-10-07 16:30:00,35.560001373291016,2025-10-08 17:30:00,34.209999084472656,28,1000.0,-37.80006408691406,2.0,-39.80006408691406,8,Trend flip
