symbol,direction,indicator,entry_time,entry_price,exit_time,exit_price,quantity,stake,gross_pnl,fees,net_pnl,bars_held,reason
MRNA,short,supertrend,2025-01-08 16:30:00,43.34000015258789,2025-01-21 14:30:00,36.310001373291016,21,950.0,147.62997436523438,1.9000000000000001,145.72997436523437,47,Trend flip
MRNA,short,supertrend,2025-01-29 20:30:00,40.72999954223633,2025-02-13 20:30:00,31.950000762939453,24,1000.0,210.719970703125,2.0,208.719970703125,77,Trend flip
MRNA,short,supertrend,2025-02-27 14:30:00,31.950000762939453,2025-03-05 14:30:00,32.94990158081055,31,1000.0,-30.996925354003906,2.0,-32.996925354003906,28,Trend flip
MRNA,short,supertrend,2025-03-11 13:30:00,33.290000915527344,2025-03-12 17:30:00,34.849998474121094,30,1000.0,-46.7999267578125,2.0,-48.7999267578125,11,ATR stop
MRNA,short,supertrend,2025-03-26 14:30:00,32.29499816894531,2025-04-09 17:30:00,27.459999084472656,30,1000.0,145.0499725341797,2.0,143.0499725341797,73,Trend flip
MRNA,short,supertrend,2025-04-10 15:30:00,23.8700008392334,2025-04-11 16:30:00,25.43000030517578,41,1000.0,-63.959978103637695,2.0,-65.9599781036377,8,ATR stop
MRNA,short,supertrend,2025-05-01 15:30:00,27.059999465942383,2025-05-05 13:30:00,28.31999969482422,36,1000.0,-45.360008239746094,2.0,-47.360008239746094,12,ATR stop
MRNA,short,supertrend,2025-05-14 16:30:00,24.2450008392334,2025-05-16 13:30:00,24.540000915527344,41,1000.0,-12.095003128051758,2.0,-14.095003128051758,11,Trend flip
MRNA,short,supertrend,2025-05-21 18:30:00,25.774999618530273,2025-05-22 17:30:00,26.799999237060547,38,1000.0,-38.94998550415039,2.0,-40.94998550415039,6,ATR stop
MRNA,short,supertrend,2025-06-05 16:30:00,26.575000762939453,2025-06-06 17:30:00,27.267000198364258,37,1000.0,-25.603979110717773,2.0,-27.603979110717773,8,ATR stop
MRNA,short,supertrend,2025-06-13 14:30:00,26.8700008392334,2025-06-24 13:30:00,26.739999771118164,37,1000.0,4.810039520263672,2.0,2.810039520263672,41,Trend flip
MRNA,short,supertrend,2025-07-15 13:30:00,32.11000061035156,2025-07-22 17:30:00,32.459999084472656,31,1000.0,-10.849952697753906,2.0,-12.849952697753906,39,Trend flip
MRNA,short,supertrend,2025-07-29 13:30:00,32.564998626708984,2025-08-13 13:30:00,26.55900001525879,30,1000.0,180.17995834350586,2.0,178.17995834350586,77,Trend flip
MRNA,short,supertrend,2025-08-20 13:30:00,27.004199981689453,2025-08-22 13:30:00,27.649999618530273,37,1000.0,-23.89458656311035,2.0,-25.89458656311035,14,Trend flip
MRNA,short,supertrend,2025-08-25 13:30:00,26.079999923706055,2025-09-05 13:30:00,24.75,38,1000.0,50.53999710083008,2.0,48.53999710083008,56,Trend flip
MRNA,short,supertrend,2025-09-08 16:30:00,24.010099411010742,2025-09-09 17:30:00,24.725000381469727,41,1000.0,-29.31093978881836,2.0,-31.31093978881836,8,ATR stop
MRNA,short,supertrend,2025-09-12 15:30:00,23.350000381469727,2025-09-16 13:30:00,24.700000762939453,42,1000.0,-56.700016021728516,2.0,-58.700016021728516,12,ATR stop
MRNA,short,supertrend,2025-09-25 13:30:00,25.375,2025-09-29 17:30:00,25.475000381469727,39,1000.0,-3.900014877319336,2.0,-5.900014877319336,18,Trend flip
MRNA,short,supertrend,2025-10-07 14:30:00,27.16349983215332,2025-10-08 13:30:00,28.1299991607666,36,1000.0,-34.793975830078125,2.0,-36.793975830078125,6,ATR stop
MRNA,short,supertrend,2025-10-09 13:30:00,27.639999389648438,2025-10-15 18:30:00,27.940000534057617,36,1000.0,-10.800041198730469,2.0,-12.800041198730469,33,Trend flip
MRNA,short,supertrend,2025-10-17 14:30:00,26.514999389648438,2025-10-20 13:30:00,27.43000030517578,37,1000.0,-33.85503387451172,2.0,-35.85503387451172,6,ATR stop
MRNA,short,supertrend,2025-10-23 17:30:00,26.030000686645508,2025-10-24 18:30:00,26.885000228881836,38,1000.0,-32.48998260498047,2.0,-34.48998260498047,8,ATR stop
MRNA,short,supertrend,2025-11-03 14:30:00,25.469999313354492,2025-11-11 14:30:00,24.954999923706055,39,1000.0,20.084976196289062,2.0,18.084976196289062,42,Trend flip
MRNA,short,supertrend,2025-11-13 17:30:00,25.19499969482422,2025-11-24 16:30:00,24.13450050354004,39,1000.0,41.35946846008301,2.0,39.35946846008301,48,Trend flip
MRNA,short,supertrend,2025-12-01 14:30:00,24.399999618530273,2025-12-03 20:30:00,25.170000076293945,40,1000.0,-30.800018310546875,2.0,-32.800018310546875,20,ATR stop
MRNA,short,supertrend,2025-12-15 14:30:00,28.915000915527344,2025-12-15 20:30:00,29.940000534057617,34,1000.0,-34.8499870300293,2.0,-36.8499870300293,6,ATR stop
