indicator,atr_mult,min_hold,htf_filter,total_trades,win_rate,total_pnl,profit_factor
psar,2.5,6,True,251,0.4103585657370518,1030.3754258780727,1.3224368110002456
psar,3.0,6,True,251,0.4103585657370518,1027.1064328215614,1.3210831327952528
psar,2.0,6,True,251,0.4063745019920319,992.0442433580195,1.307349736066968
supertrend,1.0,8,True,118,0.3559322033898305,990.5791453803263,1.5401438070278906
psar,2.5,4,True,252,0.40476190476190477,968.3956802277664,1.2971647681646905
psar,3.0,4,True,252,0.40476190476190477,966.1825386125581,1.2961857141471558
supertrend,2.5,4,True,118,0.423728813559322,957.8569993150174,1.4409196074447272
supertrend,1.0,18,True,115,0.41739130434782606,943.6244019752563,1.408577027467629
psar,1.5,6,True,251,0.3904382470119522,928.697139921775,1.2952136793313174
supertrend,2.0,8,True,118,0.423728813559322,917.1801547042801,1.4173969102471198
supertrend,2.5,8,True,118,0.423728813559322,910.1414242367923,1.41323962035465
supertrend,1.5,18,True,115,0.4260869565217391,899.1646984680925,1.3816837852319959
supertrend,1.5,8,True,118,0.3983050847457627,893.6956769488615,1.4365473704130647
supertrend,2.5,6,True,118,0.423728813559322,891.6648203692985,1.4015244049845126
supertrend,3.0,4,True,122,0.4180327868852459,867.5041441706278,1.363194387623166
psar,2.0,4,True,252,0.3968253968253968,866.3384668180506,1.2676519548529999
supertrend,2.0,18,True,114,0.4298245614035088,865.5305094070861,1.3643788048494114
psar,1.0,6,True,251,0.35856573705179284,859.4940499691565,1.2816313686554546
supertrend,2.5,18,True,113,0.4336283185840708,856.9918155437183,1.3599756324218082
supertrend,3.0,8,True,118,0.423728813559322,842.0175670913659,1.3708611785137093
supertrend,1.0,12,True,118,0.3813559322033898,840.0575160173632,1.3863807757019884
supertrend,2.0,4,True,118,0.4067796610169492,839.6825118402021,1.380518121360949
supertrend,1.5,6,True,118,0.3898305084745763,831.7160911338597,1.4059759709063449
psar,2.5,8,True,250,0.408,806.2366216736671,1.2347811701769817
supertrend,3.0,6,True,118,0.423728813559322,804.5379025890697,1.3497810236953103
psar,3.0,8,True,250,0.408,802.9676286171557,1.233605560224154
supertrend,1.5,12,True,118,0.4067796610169492,800.7740296113263,1.347588147648237
psar,1.5,8,True,250,0.396,788.7421004125292,1.2313270896105526
supertrend,3.0,18,True,113,0.4336283185840708,786.1027140125963,1.3208973887213118
psar,2.0,8,True,250,0.404,779.7162689584613,1.225582520039199
psar,1.5,4,True,252,0.376984126984127,772.9302415606958,1.2432547056532774
supertrend,2.0,6,True,118,0.4067796610169492,761.0420723669483,1.3359007321699468
supertrend,2.5,12,True,118,0.423728813559322,752.2625775883378,1.3194077319736368
supertrend,2.0,12,True,118,0.423728813559322,748.9401360326524,1.3172779947191864
supertrend,1.5,4,True,118,0.3728813559322034,745.4475632766408,1.3620410060210673
psar,1.0,4,True,252,0.3333333333333333,707.5103107865027,1.230881354186688
supertrend,1.0,4,True,118,0.3135593220338983,706.305344901722,1.3865181051648279
psar,3.0,18,True,214,0.4392523364485981,698.4019624509283,1.1835277884639426
psar,2.5,18,True,215,0.4372093023255814,673.5823971138777,1.1769324030456263
supertrend,3.0,12,True,118,0.423728813559322,672.1032098346554,1.276531848364412
supertrend,1.0,6,True,118,0.3305084745762712,657.3576275986263,1.3454576059619479
psar,1.0,18,True,216,0.4212962962962963,630.9751459009683,1.169057037642979
psar,1.0,8,True,250,0.38,588.4671081125728,1.1723390547903147
psar,2.0,18,True,215,0.4325581395348837,584.1376247365954,1.1529593242548404
psar,1.5,18,True,216,0.42592592592592593,578.2162155681899,1.152546180877382
psar,2.5,12,True,242,0.4256198347107438,566.2847738635512,1.1518335150508916
psar,3.0,12,True,242,0.4256198347107438,552.3090469794431,1.1475324966824252
psar,2.0,12,True,242,0.4214876033057851,516.6064298793399,1.1367575741752363
psar,2.5,4,False,444,0.38738738738738737,513.6922786274006,1.0731605259230155
psar,3.0,4,False,444,0.38738738738738737,504.84793200823617,1.0718607719459334
psar,1.5,12,True,242,0.41735537190082644,497.1261841563989,1.1313711546091394
psar,1.0,12,True,242,0.4132231404958678,494.6460721076514,1.1310236622706722
psar,2.0,4,False,444,0.38288288288288286,489.7248936119249,1.0704992574631835
psar,1.5,4,False,445,0.36404494382022473,387.1414088560979,1.0567108581740843
psar,2.0,6,False,442,0.38687782805429866,337.51001010615244,1.0476565444647872
psar,2.5,6,False,442,0.3891402714932127,308.18197928073874,1.0434357514246444
psar,3.0,6,False,442,0.3891402714932127,298.3946665018203,1.0419982493457491
psar,1.0,6,False,443,0.3476297968397291,251.13089284471215,1.0366847785210642
psar,1.5,6,False,442,0.37104072398190047,221.55198957455082,1.0316122512612966
psar,1.0,4,False,446,0.3273542600896861,212.64376164928922,1.0320988609747446
kama,2.0,12,True,252,0.376984126984127,89.90315502257857,1.0239426007536325
kama,2.5,12,True,252,0.376984126984127,86.50199382873092,1.023015971471643
kama,3.0,12,True,252,0.376984126984127,82.83899181457076,1.0220198789183446
kama,1.5,8,True,280,0.3392857142857143,74.9534629669306,1.019493918593964
kama,2.0,8,True,279,0.34050179211469533,70.95278420759234,1.0184775920170286
kama,2.5,8,True,279,0.34050179211469533,67.0732065708736,1.0174496389160943
kama,3.0,8,True,279,0.34050179211469533,67.0732065708736,1.0174496389160943
kama,1.5,12,True,252,0.36904761904761907,49.11750735506138,1.0130502160577766
jma,2.5,18,False,293,0.37542662116040953,35.69651198834788,1.0056994975650344
jma,3.0,18,False,293,0.37542662116040953,31.44648762186057,1.0050174921465471
kama,1.0,8,True,281,0.33451957295373663,20.537424082698067,1.005336868044435
jma,1.0,18,False,295,0.3694915254237288,5.817421782240217,1.0009258639752923
jma,1.5,18,False,295,0.3694915254237288,-11.528260258465707,0.9981703267692386
jma,2.0,18,False,294,0.3707482993197279,-18.77141123786339,0.9970132389579648
jma,2.5,8,False,389,0.3059125964010283,-42.48086144099682,0.9933892249065184
jma,3.0,8,False,389,0.3059125964010283,-44.33882320708335,0.993102099131056
jma,2.0,8,False,389,0.3059125964010283,-51.148503860296955,0.9920511756660124
jma,1.0,8,False,392,0.3010204081632653,-65.80225255838081,0.9896764180764536
jma,1.5,8,False,389,0.3033419023136247,-75.73061235326486,0.9881962270219292
kama,1.0,12,True,252,0.36507936507936506,-81.74247799650112,0.9784354283535714
kama,1.5,6,True,308,0.29545454545454547,-81.83966097632941,0.9791271778322814
kama,2.0,6,True,308,0.29545454545454547,-123.057545925444,0.9689427475610063
kama,2.5,6,True,308,0.29545454545454547,-126.93712356216275,0.9679949571201454
kama,3.0,6,True,308,0.29545454545454547,-126.93712356216275,0.9679949571201454
jma,2.5,8,True,223,0.3094170403587444,-138.85818630037824,0.9579292404104991
psar,3.0,8,False,437,0.3890160183066362,-139.51976152789288,0.9812175020063247
jma,3.0,8,True,223,0.3094170403587444,-140.74104783631105,0.9573831826423035
psar,2.5,8,False,437,0.3890160183066362,-143.44307803579065,0.9806994789996851
jma,2.0,8,True,223,0.3094170403587444,-147.64626450688547,0.9553860223785106
psar,2.0,8,False,438,0.3881278538812785,-170.10260910069363,0.9771738514185827
jma,1.5,8,True,223,0.30493273542600896,-176.45301452083456,0.9467323864649391
supertrend,1.0,12,False,182,0.34065934065934067,-200.63723265670865,0.9493036387110086
jma,2.5,6,True,241,0.27800829875518673,-211.17388561609079,0.9365230773503355
psar,1.5,8,False,438,0.3812785388127854,-212.46863134806972,0.9713674599381734
jma,3.0,6,True,241,0.27800829875518673,-213.0567471520236,0.9359934718657915
jma,1.5,6,True,241,0.27385892116182575,-216.24580417554984,0.934980687244471
jma,1.0,8,True,224,0.30357142857142855,-220.51561648831398,0.9334621894211345
jma,2.5,4,True,257,0.25680933852140075,-240.7160725528022,0.9263128085020065
jma,3.0,4,True,257,0.25680933852140075,-242.5917860120287,0.925781401524121
jma,1.5,4,True,257,0.2529182879377432,-247.39225062186927,0.9238547921689698
jma,2.0,6,True,241,0.27385892116182575,-257.8617641425771,0.9229787191642503
kama,2.0,8,False,483,0.3250517598343685,-267.55651802468833,0.9657892521803717
kama,3.0,18,False,361,0.3961218836565097,-269.2509260166153,0.9650012635457031
jma,2.0,4,True,257,0.2529182879377432,-269.6396998687262,0.9175723379145515
kama,2.5,8,False,483,0.3250517598343685,-271.4360956614071,0.9653104033112314
kama,3.0,8,False,483,0.3250517598343685,-271.4360956614071,0.9653104033112314
jma,2.5,12,False,345,0.336231884057971,-297.32583245642235,0.9541183359713445
jma,3.0,12,False,345,0.336231884057971,-299.19442497582935,0.953843371768172
jma,2.0,12,False,345,0.336231884057971,-312.7006951459893,0.95186064967424
kama,1.5,8,False,485,0.3237113402061856,-314.3837145214329,0.9600252894650421
psar,1.0,8,False,438,0.3698630136986301,-319.67041125887386,0.9566922780872431
jma,1.0,12,False,346,0.32947976878612717,-330.49682028294984,0.9488336067065538
jma,1.5,12,False,346,0.33236994219653176,-339.8838874726086,0.9477454250585006
kama,1.0,8,False,487,0.3203285420944558,-345.85875377531625,0.9559536763436836
kama,2.0,18,True,216,0.41203703703703703,-352.5437945840764,0.9168954656995384
kama,1.0,18,False,363,0.3939393939393939,-362.69321135074136,0.952677760334771
kama,2.5,18,True,216,0.4074074074074074,-370.51327338450454,0.9128611737042719
kama,1.0,18,True,217,0.4009216589861751,-372.0787007367319,0.9123856026758678
kama,1.5,18,True,217,0.4055299539170507,-372.87007731977127,0.9122555400909617
kama,3.0,18,True,216,0.4074074074074074,-375.7155467083549,0.9117462419256285
supertrend,2.0,8,False,197,0.3604060913705584,-397.3211179815577,0.9139074057846597
kama,1.5,18,False,363,0.3939393939393939,-409.4911015587075,0.9467923385829801
kama,2.0,18,False,362,0.39502762430939226,-421.08442884969793,0.9453282507200682
kama,2.5,18,False,361,0.39335180055401664,-433.74471418426555,0.9436934853912835
psar,3.0,18,False,349,0.4297994269340974,-434.42595622295886,0.94083865488599
kama,1.5,4,True,336,0.2708333333333333,-446.9797321018234,0.8863113219444514
kama,1.0,6,True,308,0.2857142857142857,-451.3633721627315,0.8832938781625526
kama,2.0,4,True,336,0.2708333333333333,-467.1238361057296,0.8817933434758088
kama,1.5,12,False,431,0.3503480278422274,-468.8404415511109,0.93991899094959
kama,2.5,4,True,336,0.2708333333333333,-471.00341374244834,0.8809285049754811
kama,3.0,4,True,336,0.2708333333333333,-471.00341374244834,0.8809285049754811
supertrend,2.0,4,False,197,0.3401015228426396,-475.74713022904507,0.8957100525613757
kama,2.0,12,False,431,0.35266821345707655,-483.5394459671475,0.9383389347856064
kama,1.0,12,False,400,0.35,-484.39414792785425,0.935110636163175
kama,2.5,12,False,431,0.35266821345707655,-486.94060716099517,0.9379321377806626
jma,1.5,4,False,461,0.24511930585683298,-487.2827892177162,0.9264328843404612
kama,3.0,12,False,431,0.35266821345707655,-490.6036091751553,0.9374944175269648
jma,2.5,4,False,461,0.2472885032537961,-492.43656028803923,0.9260429662577067
jma,2.5,12,True,202,0.33663366336633666,-493.7427414314436,0.863529612519723
jma,3.0,4,False,461,0.2472885032537961,-494.28746850665675,0.9257857365647213
jma,3.0,12,True,202,0.33663366336633666,-495.62918721436404,0.8630798662032406
jma,2.0,4,False,461,0.24511930585683298,-508.72775170388354,0.923443630779524
jma,2.0,12,True,202,0.33663366336633666,-509.26450157041626,0.8598430199755707
psar,2.5,18,False,350,0.42857142857142855,-513.2944618090507,0.9303743431446166
jma,1.0,12,True,202,0.3316831683168317,-530.65035652734,0.8540477758351284
jma,1.5,12,True,202,0.3316831683168317,-534.6773960871033,0.8531060299949507
jma,2.5,18,True,176,0.375,-540.2693533482618,0.8512267689014161
jma,3.0,18,True,176,0.375,-542.1629881072449,0.8507835773086646
supertrend,1.0,8,False,197,0.29949238578680204,-542.9512167398677,0.8635323902666785
jma,2.0,18,True,177,0.3728813559322034,-546.4097680351438,0.8497894390462516
supertrend,2.5,18,False,188,0.3617021276595745,-548.3149129170799,0.8877376036341506
jma,1.5,18,True,178,0.3651685393258427,-556.7957036531195,0.848025891003313
jma,1.0,18,True,178,0.3595505617977528,-556.9912322321923,0.847550874122092
supertrend,2.0,6,False,197,0.34517766497461927,-558.1100266540689,0.880646820921065
supertrend,2.5,8,False,196,0.3622448979591837,-561.7188679111179,0.8818669690724071
supertrend,2.5,4,False,196,0.3520408163265306,-567.6446245983157,0.8796633873912759
jma,1.0,6,True,241,0.26556016597510373,-573.2435061174165,0.8271892944584882
supertrend,1.5,8,False,197,0.3401015228426396,-584.2334995284743,0.864847149341891
kama,1.5,6,False,542,0.2785977859778598,-589.8949474877841,0.9261493882345386
supertrend,3.0,4,False,196,0.3622448979591837,-596.754785761452,0.8757470671028312
supertrend,3.0,18,False,188,0.3617021276595745,-605.3404289801329,0.8775018302198911
jma,2.5,6,False,427,0.2716627634660422,-607.1154403423031,0.9117476249209542
jma,1.5,6,False,427,0.2693208430913349,-608.9230147692758,0.9110850285560708
jma,3.0,6,False,427,0.2716627634660422,-608.9734021083898,0.9115015859961441
supertrend,2.0,12,False,195,0.358974358974359,-611.7182324211308,0.8727785842362117
jma,1.0,4,True,258,0.24031007751937986,-617.5273694772354,0.8094752811666968
supertrend,2.5,6,False,196,0.35714285714285715,-619.0971783948304,0.8709547082599114
supertrend,2.0,18,False,189,0.3544973544973545,-621.3371176261239,0.8727723948352802
psar,1.5,18,False,351,0.41595441595441596,-627.0321207249267,0.9149373974588906
supertrend,3.0,8,False,196,0.3622448979591837,-631.4810098629878,0.8690023244489147
jma,2.0,6,False,427,0.2693208430913349,-632.4805476222384,0.9079626969807724
kama,2.0,6,False,542,0.2785977859778598,-642.803786071703,0.9200578423894757
psar,1.0,18,False,351,0.41025641025641024,-644.7788062158024,0.912046970475964
kama,2.5,6,False,542,0.2785977859778598,-646.6833637084218,0.9196141443302073
kama,3.0,6,False,542,0.2785977859778598,-646.6833637084218,0.9196141443302073
supertrend,3.0,6,False,196,0.3622448979591837,-655.8983783238303,0.864766550082842
supertrend,2.5,12,False,194,0.36082474226804123,-672.2570277558441,0.8616149217598917
supertrend,1.0,18,False,190,0.34210526315789475,-679.1285417104241,0.8549821494368322
psar,3.0,12,False,421,0.4085510688836104,-683.7717422819928,0.9128709274654108
psar,2.0,18,False,350,0.42,-687.893619695247,0.9074923353615113
supertrend,1.5,12,False,196,0.34183673469387754,-696.2684459015953,0.8485512686631136
psar,2.5,12,False,421,0.4085510688836104,-721.4783238595035,0.9083626602165766
psar,1.5,12,False,421,0.40380047505938244,-722.38814590623,0.908618758322495
psar,1.0,12,False,421,0.40380047505938244,-739.8351807024047,0.9063835946388897
psar,2.0,12,False,421,0.40617577197149646,-749.8267804134299,0.905223155063853
supertrend,3.0,12,False,194,0.36082474226804123,-750.6386771386688,0.8477061969746331
supertrend,1.5,6,False,198,0.32323232323232326,-770.0208515357026,0.8227620383146887
supertrend,1.0,4,False,198,0.26262626262626265,-785.3249501521115,0.7974606655464768
supertrend,1.5,18,False,190,0.3473684210526316,-804.9658580471137,0.8326345450772034
jma,1.0,4,False,463,0.23758099352051837,-821.831595250024,0.8751057395823124
kama,1.0,4,True,336,0.25892857142857145,-828.6503599293138,0.7862715364832193
kama,1.5,4,False,594,0.2542087542087542,-850.0786763082873,0.891660268742347
supertrend,1.5,4,False,198,0.30808080808080807,-865.086168311384,0.7995875858583662
kama,2.0,4,False,594,0.2542087542087542,-866.9773289719643,0.8897447003917445
kama,2.5,4,False,594,0.2542087542087542,-870.783821688363,0.8893144066388738
kama,3.0,4,False,594,0.2542087542087542,-870.783821688363,0.8893144066388738
supertrend,1.0,6,False,198,0.2777777777777778,-877.0681747807755,0.781443376713755
kama,1.0,6,False,542,0.2730627306273063,-921.996763196358,0.883554444882884
jma,1.0,6,False,428,0.26401869158878505,-929.1371757837143,0.863395130949208
