indicator,atr_mult,min_hold,htf_filter,total_trades,win_rate,total_pnl,profit_factor
psar,1.0,6,True,197,0.3604060913705584,-172.0162240148735,0.927496583731471
psar,1.5,6,True,197,0.37055837563451777,-185.99548067340106,0.9231581918444065
psar,1.5,4,True,200,0.365,-186.67104300434528,0.9210931596308556
psar,2.0,6,True,197,0.3756345177664975,-200.94858649602372,0.918136827545989
psar,1.0,8,True,194,0.36597938144329895,-246.34787831202607,0.9003116583054236
psar,2.0,4,True,200,0.37,-247.90446992487568,0.8985739015174476
psar,1.5,8,True,193,0.36787564766839376,-276.13876194854356,0.8894117898019203
psar,2.5,6,True,197,0.3756345177664975,-309.6652430988279,0.8788020160451551
psar,2.0,8,True,193,0.37305699481865284,-322.2389824334364,0.8742514636716112
psar,3.0,6,True,197,0.3756345177664975,-332.4802382688939,0.8710338111703279
psar,2.5,8,True,193,0.37305699481865284,-343.3527302114495,0.8671117734994126
psar,2.5,4,True,200,0.37,-350.419736665522,0.8619472305179303
psar,1.0,4,True,200,0.335,-360.6184897511178,0.8474834880758434
psar,3.0,8,True,193,0.37305699481865284,-369.8161790416209,0.8581688148805889
psar,3.0,4,True,200,0.37,-373.2213017545064,0.8542841421981727
supertrend,1.0,4,True,98,0.22448979591836735,-525.6254432341143,0.6938873740207778
psar,1.0,12,True,191,0.387434554973822,-597.4986183795469,0.7842710206145762
supertrend,1.0,6,True,98,0.22448979591836735,-609.4491490509591,0.659545740949747
jma,2.0,8,True,173,0.23699421965317918,-610.0008366529322,0.7235591551839454
jma,2.5,8,True,173,0.23699421965317918,-610.0008366529322,0.7235591551839454
jma,3.0,8,True,173,0.23699421965317918,-610.0008366529322,0.7235591551839454
psar,2.0,12,True,191,0.39267015706806285,-623.3110621714131,0.7800280844677088
jma,1.5,8,True,173,0.23121387283236994,-644.3533601073758,0.7091402925441529
psar,1.5,12,True,191,0.387434554973822,-648.0383024946723,0.7702184013482123
psar,2.5,12,True,191,0.39267015706806285,-649.4303127712865,0.772915582791232
jma,2.0,12,True,157,0.2484076433121019,-655.1763486393112,0.713113899667858
jma,2.5,12,True,157,0.2484076433121019,-655.1763486393112,0.713113899667858
jma,3.0,12,True,157,0.2484076433121019,-655.1763486393112,0.713113899667858
supertrend,1.0,8,True,97,0.23711340206185566,-672.172321647558,0.6388133495971021
jma,1.0,8,True,173,0.2254335260115607,-676.2814603715723,0.6915105067221679
psar,3.0,12,True,191,0.39267015706806285,-685.9012037358068,0.76171685546151
jma,1.5,12,True,157,0.24203821656050956,-693.7258639037452,0.6978783729252342
supertrend,1.5,4,True,98,0.25510204081632654,-696.8462029398938,0.6421969350863966
supertrend,1.5,6,True,98,0.25510204081632654,-722.9133454523233,0.6332102939324815
supertrend,1.5,8,True,97,0.25773195876288657,-764.3210056923617,0.6216800038630521
jma,1.0,12,True,157,0.2356687898089172,-764.331130945824,0.6690902029702852
supertrend,1.0,12,True,97,0.23711340206185566,-783.5622972082374,0.6021579318434495
supertrend,2.0,4,True,98,0.2653061224489796,-789.211021620162,0.6151642929676889
supertrend,1.5,12,True,97,0.25773195876288657,-842.174403358729,0.5971150870643773
supertrend,2.0,6,True,98,0.2653061224489796,-865.6533434376593,0.5904739224992234
psar,1.0,18,True,171,0.42105263157894735,-877.3984235398425,0.7165733280757794
supertrend,2.0,8,True,97,0.26804123711340205,-889.6446576169894,0.5860684202913937
psar,2.0,18,True,171,0.4269005847953216,-900.4905342936497,0.712701232579511
jma,1.0,18,True,132,0.3181818181818182,-900.9063455192841,0.6332370878488204
psar,1.5,18,True,171,0.42105263157894735,-912.8755753384919,0.7077084109286094
psar,2.5,18,True,171,0.4269005847953216,-918.7433743908794,0.7083986035576335
psar,3.0,18,True,171,0.4269005847953216,-921.5592959914791,0.7077675328094467
supertrend,2.0,12,True,97,0.26804123711340205,-931.8483669477855,0.5739358823957396
jma,2.0,4,True,205,0.18536585365853658,-940.7477361612364,0.6165522760570771
jma,2.5,4,True,205,0.18536585365853658,-962.5969657118144,0.6111164484868309
jma,3.0,4,True,205,0.18536585365853658,-962.5969657118144,0.6111164484868309
jma,1.5,4,True,205,0.18048780487804877,-978.146286804003,0.6031939545334073
supertrend,1.0,18,True,96,0.2708333333333333,-980.7492729652042,0.562902222419863
jma,1.5,18,True,132,0.3181818181818182,-982.499967256733,0.6118345582143587
jma,2.0,6,True,188,0.21808510638297873,-985.9057840179046,0.606005953289438
supertrend,2.5,12,True,97,0.26804123711340205,-995.325408990197,0.5580199754959783
jma,2.0,18,True,132,0.3181818181818182,-996.6639753991808,0.6083880921545353
jma,2.5,18,True,132,0.3181818181818182,-996.6639753991808,0.6083880921545353
jma,3.0,18,True,132,0.3181818181818182,-996.6639753991808,0.6083880921545353
